"PLT_CN","LON_PUBLIC","LAT_PUBLIC","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_ID","COUNTYFIPS"
"40416095010690",-105.66607,42.091989,56,2,1,82947,"PID560200182947","56001"
"40416096010690",-105.489806,42.09322,56,2,1,89383,"PID560200189383","56001"
"40416097010690",-105.419213,42.09529,56,2,1,85535,"PID560200185535","56001"
"40416098010690",-105.350731,42.088927,56,2,1,86387,"PID560200186387","56001"
"40416099010690",-106.033029,42.048793,56,2,1,85977,"PID560200185977","56001"
"40416100010690",-105.900536,42.047306,56,2,1,89938,"PID560200189938","56001"
"40416101010690",-105.840531,42.043522,56,2,1,89545,"PID560200189545","56001"
"40416102010690",-105.669542,42.04414,56,2,1,84793,"PID560200184793","56001"
"40416103010690",-105.604636,42.045129,56,2,1,85489,"PID560200185489","56001"
"40416104010690",-105.545983,42.04543,56,2,1,83180,"PID560200183180","56001"
"40416105010690",-105.307168,42.043762,56,2,1,90503,"PID560200190503","56001"
"40416106010690",-106.024427,42.000692,56,2,1,86834,"PID560200186834","56001"
"40416107010690",-105.968359,41.99925,56,2,1,89670,"PID560200189670","56001"
"40416108010690",-105.851899,42.001179,56,2,1,88089,"PID560200188089","56001"
"40416109010690",-105.783195,42.00097,56,2,1,86240,"PID560200186240","56001"
"40416110010690",-105.724542,42.003882,56,2,1,90489,"PID560200190489","56001"
"40416111010690",-105.664575,42.001372,56,2,1,80134,"PID560200180134","56001"
"40416112010690",-105.556983,42.009999,56,2,1,85255,"PID560200185255","56001"
"40416113010690",-105.479582,42.001569,56,2,1,89872,"PID560200189872","56001"
"40416114010690",-105.374411,42.004555,56,2,1,84000,"PID560200184000","56001"
"40416115010690",-105.301194,42.000342,56,2,1,86613,"PID560200186613","56001"
"40416116010690",-106.024289,41.957177,56,2,1,80157,"PID560200180157","56001"
"40416117010690",-105.847127,41.953717,56,2,1,84876,"PID560200184876","56001"
"40416118010690",-105.721184,41.958322,56,2,1,90176,"PID560200190176","56001"
"40416119010690",-105.659477,41.959833,56,2,1,81748,"PID560200181748","56001"
"40416120010690",-105.485327,41.957029,56,2,1,87280,"PID560200187280","56001"
"40416121010690",-105.424792,41.963117,56,2,1,87914,"PID560200187914","56001"
"40416122010690",-105.353251,41.948398,56,2,1,89399,"PID560200189399","56001"
"40416123010690",-105.962926,41.908176,56,2,1,90086,"PID560200190086","56001"
"40416124010690",-105.90381,41.907819,56,2,1,89584,"PID560200189584","56001"
"40416125010690",-105.842807,41.910834,56,2,1,87551,"PID560200187551","56001"
"40416126010690",-105.66761,41.914738,56,2,1,90216,"PID560200190216","56001"
